product_id,product_type,sentiment,sentiment_ratio,summary
5001235,한우 곰탕,negative,20,"이 제품은 비린내가 심하고 양도 적고 가격도 비싸다는 불만이 많으며, 포장 문제로 일부 제품이 손상되기도 하는 문제가 있습니다."
5001235,한우 곰탕,positive,73,"이 제품은 가격 대비 가성비가 좋고, 맛도 좋습니다. 특히 한우로 만든 곰탕은 부드럽고 맛있으며, 가족 모두에게 적합한 양이 푸짐합니다."
5001235,한우 설렁탕,negative,60,"고객님은 이 제품에 대해 불만을 제기했습니다. 주요 불만 사항은 다음과 같습니다.

1.  가격에 비해 품질이 좋지 않습니다.
2.  한우로 구입했음에도 불구하고, 가격이 2배 이상 차이 나는 것에 대한 불만입니다.
3.  판매자는 전량을 수거하여 폐기해야 한다고 생각하며, 5년 이상 사용한 후에도 노란 기름이 뒤덮인 제품을 판매하는 것에 대한 불만입니다.
4.  국물이 노래서 불만입니다.
5.  맛이 느끼하여 일반 고기 설렁탕과 비교해 보려는 것에 대한 불만입니다."
5001235,한우 설렁탕,positive,40,"이 제품은 어머니를 위한 맛있는 식사로 좋은 선택입니다. 

품목은 뽀얀 국물과 담백한 고기가 특징이며, 치아 약하고 연로한 어머니에게 적합합니다."
5001235,한우 양곰탕,negative,36,"소비자는 컬리 배송 시정에 문제가 있다고 지적하고 있습니다. 배송 시간이 새벽이라고 표기되어 있지만 실제로 배송된 시간이 맞지 않는다는 점을 지적하고 있습니다. 또한, 냉동식품이 녹아 있고 냉장 식품의 신선도가 떨어지는 문제가 있다고 말하고 있습니다. 소비자는 이러한 문제를 해결하기 위해 배송 시정에 문제가 있는 경우 새벽 배송 타이틀을 삭제하거나 배송 시간을 지키는 것을 요구하고 있습니다."
5001235,한우 양곰탕,positive,56,"이 제품은 가격 대비 만족스럽고 편리하며, 토핑이 풍부하고 다양한 재료를 넣을 수 있어 좋습니다."
5005071,돼지고기 김치찌개,negative,10,"이 제품은 맛이 강하고, 특히 김치찌개는 매운 맛이 강하다는 평이 많습니다. 많은 사람들이 다른 브랜드의 김치찌개는 먹었지만 이 제품은 자극적이어서 다시 사지 않으려는 의견이 있습니다."
5005071,돼지고기 김치찌개,positive,82,"이 제품은 한 끼 식사 국으로 든든하고 맛있으며, 양이 푸짐하고 가성비도 좋습니다."
5011633,어린이 한우 사골 곰국,negative,14,"이 제품은 가격 대비 비싼 편이며, 냉동 후 맛이 떨어지고 양이 줄어든다는 의견이 많습니다. 한우 사골 추출물과 파우치 크기가 줄어든다는 문제점도 있습니다. 또한, 다른 제품의 위생 문제로 신경을 써야 한다는 의견이 있습니다."
5011633,어린이 한우 사골 곰국,positive,82,"이 제품은 아이가 좋아하는 국으로 일주일에 두 번씩 먹이고 있습니다. 소분되어 있어 한 번 혹은 두 번 먹을 양이 딱 맞으며, 어른처럼 소면 좋아하는 아이는 삶아서 넣어 먹으면 곰국 국수처럼 맛납니다. 또한, 깔끔한 패키지와 소포장으로 보관도 좋으며, 냉동실에 항상 쟁여두면 마음이 편하다는 장점이 있습니다."
